"uid","geo_unit_el","geo_unit","state_el","state","region_el","region","lat","long","population","map_value"
"EL144","Θεσσαλία","Thessaly","Περιφέρεια Θεσσαλίας","Thessaly","Π.Ε. Τρικάλων","Trikala","39.5557317","21.7678951",131085,
"EL211","Ήπειρος","Epirus","Περιφέρεια Ηπείρου","Epirus","Π.Ε. Άρτας","Arta","39.1582421","20.9876839",67877,
"EL212","Ήπειρος","Epirus","Περιφέρεια Ηπείρου","Epirus","Π.Ε. Θεσπρωτίας","Thesprotia","39.4935011","20.3785438",43587,
"EL213","Ήπειρος","Epirus","Περιφέρεια Ηπείρου","Epirus","Π.Ε. Ιωαννίνων","Ioannina","39.6650288","20.8537466",167901,
"EL214","Ήπειρος","Epirus","Περιφέρεια Ηπείρου","Epirus","Π.Ε. Πρεβέζης","Preveza","38.9592649","20.7517155",57491,"Ν. ΠΡΕΒΕΖΑΣ"
"EL221","Νησιά Ιονίου Πελάγους","Aegean","Περιφέρεια Ιονίων Νήσων","Ionian Islands","Π.Ε. Ζακύνθου","Zakynthos","37.7870331","20.8998759",40759,
"EL222","Νησιά Ιονίου Πελάγους","Aegean","Περιφέρεια Ιονίων Νήσων","Ionian Islands","Π.Ε. Κέρκυρας","Corfu (Kerkyra)","39.6242621","19.9216777",104371,
"EL223","Νησιά Ιονίου Πελάγους","Aegean","Περιφέρεια Ιονίων Νήσων","Ionian Islands","Ν. Κεφαλληνίας","Kefalonia","38.1753675","20.5692179",39032,"Ν. Κεφαλληνίας"
"EL224","Νησιά Ιονίου Πελάγους","Aegean","Περιφέρεια Ιονίων Νήσων","Ionian Islands","Π.Ε. Λευκάδας","Lefkada","38.7066464","20.64073",23693,
"EL231","Στερεά Ελλάδα","Central Greece","Περιφέρεια Δυτικής Ελλάδας","Western Greece","Π.Ε. Αιτωλοακαρνανίας","Aetolia-Acarnania","38.7084386","21.3798928",210802,
"EL232","Πελοπόννησος","Peloponnese","Περιφέρεια Δυτικής Ελλάδας","Western Greece","Π.Ε. Αχαϊας","Achaea","38.1158729","21.9522491",309694,
"EL233","Πελοπόννησος","Peloponnese","Περιφέρεια Δυτικής Ελλάδας","Western Greece","Π.Ε. Ηλείας","Elis","37.7045099","21.5706786",159300,
"EL241","Στερεά Ελλάδα","Central Greece","Περιφέρεια Στερεάς Ελλάδας και Εύβοιας","Central Greece","Π.Ε. Βοιωτίας","Boeotia","38.3663664","23.0965064",117920,
