uid,geo_unit_el,geo_unit,state_el,state,region_el,region,lat,long,population,map_value,areaid
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Π.Ε. Καρπάθου,Karpathos,35.6136471,27.0118322,7310,Ν. Δωδεκανήσου,1204
EL132,Μακεδονία,Macedonia,Περιφέρεια Δυτικής Μακεδονίας,Western Macedonia,Π.Ε. Καστοριάς,Kastoria,40.5192691,21.2687171,50322,,302
,Μακεδονία,Macedonia,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Π.Ε. Καβάλας,Kavala,40.937607,24.412866,124917,Ν. Καβάλας,104
EL115,Μακεδονία,Macedonia,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Ν. Καβάλας,Kavala,40.937607,24.412866,138687,Ν. Καβάλας,
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Π.Ε. Κέας - Κύθνου,Kea - Kythnos,37.5281228,24.1757754,3911,Ν. Κυκλάδων,1205
,Νησιά Ιονίου Πελάγους,Aegean,Περιφέρεια Ιονίων Νήσων,Ionian Islands,Π.Ε. Κεφαλληνίας,Kefalonia,38.1753675,20.5692179,35801,Ν. Κεφαλληνίας,604
EL223,Νησιά Ιονίου Πελάγους,Aegean,Περιφέρεια Ιονίων Νήσων,Ionian Islands,Ν. Κεφαλληνίας,Kefalonia,38.1753675,20.5692179,39032,Ν. Κεφαλληνίας,
EL123,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Κιλκίς,Kilkis,40.9937071,22.8753674,80419,,203
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Π.Ε. Κώ,Kos,36.7935943,26.9964209,34396,Ν. Δωδεκανήσου,1206
EL133,Μακεδονία,Macedonia,Περιφέρεια Δυτικής Μακεδονίας,Western Macedonia,Π.Ε. Κοζάνης,Kozani,40.3005586,21.7887737,150196,,303
EL254,Πελοπόννησος,Peloponnese,Περιφέρεια Πελοποννήσου,Peloponnese,Π.Ε. Λακωνίας,Laconia,37.0299087,22.5245093,89138,,1004
EL142,Θεσσαλία,Thessaly,Περιφέρεια Θεσσαλίας,Thessaly,Π.Ε. Λαρίσης,Larissa,39.6390224,22.4191254,284325,Π.Ε. ΛΑΡΙΣΑΣ,502
EL432,Κρήτη,Crete,Περιφέρεια Κρήτης,Crete,Π.Ε. Λασιθίου,Lasithi,35.0811693,25.7101789,75381,,1302
EL224,Νησιά Ιονίου Πελάγους,Aegean,Περιφέρεια Ιονίων Νήσων,Ionian Islands,Π.Ε. Λευκάδας,Lefkada,38.7066464,20.64073,23693,,605
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Βορείου Αιγαίου,North Aegean,Π.Ε. Λήμνου,Lemnos,39.9088103,25.1002593,17262,,1103
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Βορείου Αιγαίου,North Aegean,Π.Ε. Λέσβου,Lesbos,39.2645095,26.2777073,86436,,1102
EL411,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Βορείου Αιγαίου,North Aegean,Ν. Λέσβου,Lesbos,39.2645095,26.2777073,103698,Ν. Λέσβου,
,Θεσσαλία,Thessaly,Περιφέρεια Θεσσαλίας,Thessaly,Π.Ε. Μαγνησίας,Magnesia,39.2686199,22.762883,190010,Ν. Μαγνησίας,503
EL143,Θεσσαλία,Thessaly,Περιφέρεια Θεσσαλίας,Thessaly,Ν. Μαγνησίας,Magnesia,39.2686199,22.762883,203808,Ν. Μαγνησίας,
EL255,Πελοπόννησος,Peloponnese,Περιφέρεια Πελοποννήσου,Peloponnese,Π.Ε. Μεσσηνίας,Messenia,37.1424653,21.9522491,159954,,1005
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Π.Ε. Μήλου,Milos,36.7093083,24.3624462,9932,Ν. Κυκλάδων,1207
EL128,Άγιον Όρος,Mount Athos,Άγιον Όρος,Mount Athos,Άγιο Όρος,Mount Athos,40.2644928,24.2152731,1811,,
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Π.Ε. Μυκόνου,Mykonos,37.444458,25.3268288,10134,Ν. Κυκλάδων,1208
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Π.Ε. Νάξου,Naxos,37.0599506,25.3996186,20877,Ν. Κυκλάδων,1209
